"id","name","bio","image_url","artist_country","Career_Highlights","Influences","demos","featured_artists","activate","genre","image_url_public_identifier","rating","monthly_listeners","albums_released"
"1","Panic! At The Disco TEST1","Artist biography placeholder","trackcardImage[0]","All countries","artist.career_highlights","artist.influences","","","","","","4.3","833K",4
"2","Lukas Graham Test3","Artist biography placeholder","trackcardImage[1]","Australia","artist.career_highlights","artist.influences","","","","","","4.8","83K",38
"3","Marshmello & Bastille","Artist biography placeholder","trackcardImage[2]","Canada","artist.career_highlights","artist.influences","","","","","","4.7","55K",56
"4","XXXTENTACION & Lil","Artist biography placeholder","trackcardImage[3]","France","artist.career_highlights","artist.influences","","","","","","4.6","356K",36
"5","Gucci Mane, Bruno","Artist biography placeholder","trackcardImage[4]","Germany","artist.career_highlights","artist.influences","","","","","","4.1","544K",11
"6","Loud Luxury Feat.","Artist biography placeholder","trackcardImage[5]","Ireland","artist.career_highlights","artist.influences","","","","","","5.0","5K",28
"7","Lil Wayne","Artist biography placeholder","trackcardImage[6]","Netherlands","artist.career_highlights","artist.influences","","","","","","4.9","4K",54
"8","Silk City & Dua Lipa","Artist biography placeholder","trackcardImage[7]","New Zealand","artist.career_highlights","artist.influences","","","","","","4.4","19K",28
"9","Khalid","Artist biography placeholder","trackcardImage[8]","United Kingdom","artist.career_highlights","artist.influences","","","","","","4.8","729K",14
"10","Bad Bunny Feat.","Artist biography placeholder","trackcardImage[9]","USA","artist.career_highlights","artist.influences","","","","","","4.2","61K",60
"11","Dynoro & Gigi","Artist biography placeholder","trackcardImage[10]","All countries","artist.career_highlights","artist.influences","","","","","","4.4","10K",50
"12","Benny Blanco, Halsey","Artist biography placeholder","trackcardImage[11]","Australia","artist.career_highlights","artist.influences","","","","","","4.3","704K",21
"13","Rita Ora","Artist biography placeholder","trackcardImage[12]","Canada","artist.career_highlights","artist.influences","","","","","","4.2","13K",6
"14","Ariana Grande","Artist biography placeholder","trackcardImage[13]","France","artist.career_highlights","artist.influences","","","","","","4.6","6K",10
"15","Clean Bandit Feat.","Artist biography placeholder","trackcardImage[14]","Germany","artist.career_highlights","artist.influences","","","","","","4.8","2K",48
"16","DJ Snake Feat.","Artist biography placeholder","trackcardImage[15]","Ireland","artist.career_highlights","artist.influences","","","","","","4.5","2K",52
"17","Don Diablo Feat.","Artist biography placeholder","trackcardImage[16]","Netherlands","artist.career_highlights","artist.influences","","","","","","4.5","10M",14
"18","The Prince Karma","Artist biography placeholder","trackcardImage[17]","New Zealand","artist.career_highlights","artist.influences","","","","","","4.7","5K",36
"20","Whitney Houston ","","https://res.cloudinary.com/webprojectimages/image/upload/v1760021193/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/eea8002efe919856a3678ee9094003cc.jpg","USA","","",1,0,1,"pop,rnb,soul","SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/eea8002efe919856a3678ee9094003cc","4.4","374K",49
"21","Alsou","Alsou is a Russian pop singer who gained international recognition after representing Russia at Eurovision. Known for her melodic voice and captivating performances, she has become one of the most successful pop artists in Russia, blending contemporary pop with traditional influences.","https://res.cloudinary.com/webprojectimages/image/upload/v1760021246/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/d3e69b61b912d43a8af70848b8433639.jpg","USA","• Represented Russia at Eurovision Song Contest 2000
• Multiple Russian Music Awards
• Platinum-selling albums in Russia
• Successful acting career in Russian cinema
• International tours across Europe and Asia","Russian pop music, Western pop artists, Eurovision performers",1,0,0,"pop","SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/d3e69b61b912d43a8af70848b8433639","4.1","22K",21
"22","Anthony Brown","Anthony Brown is a renowned gospel music artist and worship leader, known for his powerful messages and soulful performances. As the leader of group therAPy, he has become a influential figure in contemporary gospel music, inspiring audiences with his authentic worship style.","https://res.cloudinary.com/webprojectimages/image/upload/v1760021677/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/bdf5564c49331b1b885ca484c085e917.jpg","USA","• Multiple Stellar Gospel Music Awards
• Dove Award nominations
• Chart-topping gospel albums
• Influential worship leader and pastor
• Inspiring performances at major gospel events","Traditional Gospel, Kirk Franklin, Contemporary worship music",1,0,0,"soul, gospel ","SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/bdf5564c49331b1b885ca484c085e917","4.0","583K",32
"23","BabyFace","Kenneth ""Babyface"" Edmonds is a legendary R&B singer, songwriter, and producer who has shaped the sound of modern soul music. With his smooth vocals and masterful production skills, he has written and produced hits for countless artists while maintaining a successful solo career.","https://res.cloudinary.com/webprojectimages/image/upload/v1760021719/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/41e0f23871deba9e1305a1d97bef0ab9.jpg","USA","• 12 Grammy Awards as artist and producer
• Written and produced over 26 #1 R&B hits
• Produced for Whitney Houston, Boyz II Men, Toni Braxton
• Co-founder of LaFace Records
• Inducted into Songwriters Hall of Fame","Marvin Gaye, Stevie Wonder, The Isley Brothers, Smokey Robinson",1,0,0,"Rnb soul","SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/41e0f23871deba9e1305a1d97bef0ab9","4.7","22K",5
"24","Britney Spears","Britney Spears is a pop icon who defined a generation with her catchy songs, innovative music videos, and electrifying performances. Rising to fame in the late 1990s, she became one of the best-selling music artists of all time and a cultural phenomenon that shaped modern pop music.","https://res.cloudinary.com/webprojectimages/image/upload/v1760021790/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/7807bab26f8774fcc25b79adacb7cda0.jpg","USA","• ""...Baby One More Time"" became a global phenomenon
• 6 #1 albums on Billboard 200
• Grammy Award winner
• Over 100 million records sold worldwide
• MTV Video Vanguard Award recipient","Madonna, Janet Jackson, Michael Jackson, Prince",1,0,0,"pop","SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/7807bab26f8774fcc25b79adacb7cda0","4.1","6.1M",59
"25","Deagngelo","D'Angelo is a pioneering neo-soul artist whose innovative approach to R&B has influenced countless musicians. Known for his sultry vocals, complex arrangements, and musical virtuosity, he helped define the neo-soul movement and continues to push creative boundaries.","https://res.cloudinary.com/webprojectimages/image/upload/v1760021834/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/fc9e11c3bc4c6f16db71c0bd3bef0794.jpg","USA","• Grammy Award-winning artist
• Critically acclaimed albums ""Brown Sugar"" and ""Voodoo""
• Pioneered the neo-soul movement
• Collaborated with hip-hop and R&B legends
• Known for innovative live performances","Marvin Gaye, Prince, Al Green, Curtis Mayfield",1,0,0,"soul","SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/fc9e11c3bc4c6f16db71c0bd3bef0794","4.7","296K",15
"26","Alexis FFrench","Alexis Ffrench is a British contemporary classical pianist and composer who bridges the gap between classical and popular music. His emotive compositions and virtuoso performances have made him one of the UK's most successful classical artists, bringing piano music to new audiences.","https://res.cloudinary.com/webprojectimages/image/upload/v1760021870/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/6e27252db98a8182809e101c9d52ca95.jpg","USA","• Multiple classical chart-topping albums
• Over 100 million streams worldwide
• Performed at prestigious venues including Royal Albert Hall
• Ambassador for music education
• Blending classical with contemporary sounds","Chopin, Debussy, Ludovico Einaudi, Max Richter",1,0,0,"instrumental","SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/6e27252db98a8182809e101c9d52ca95","4.5","93K",46
"27","Great Soul ","","https://res.cloudinary.com/webprojectimages/image/upload/v1760021943/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/765256f360b03577c4a397586a70b3ff.jpg","","","",1,0,0,"soul","SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/765256f360b03577c4a397586a70b3ff","4.5","179K",57
"28","Lionel Richie","Lionel Richie is a legendary singer, songwriter, and producer whose smooth voice and timeless ballads have made him one of the most successful artists in music history. From his work with The Commodores to his illustrious solo career, his songs have become anthems of love and celebration.","https://res.cloudinary.com/webprojectimages/image/upload/v1760021982/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/1bcb8042df29f6a9bf7471ac4c3eef52.jpg","USA","• 4 Grammy Awards and Academy Award winner
• Over 125 million records sold worldwide
• Inducted into Songwriters Hall of Fame
• Kennedy Center Honors recipient
• Chart-topping hits spanning five decades","Nat King Cole, Sam Cooke, Marvin Gaye, Smokey Robinson",1,0,0,"Pop","SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/1bcb8042df29f6a9bf7471ac4c3eef52","4.7","3K",34
"29","Luther Vandross","Luther Vandross was a masterful R&B vocalist whose velvety voice and impeccable phrasing set the gold standard for soul music. His romantic ballads and passionate performances earned him multiple Grammy Awards and secured his place as one of the greatest singers of all time.","https://res.cloudinary.com/webprojectimages/image/upload/v1760022018/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/f9aa825ded07217a99073edb16a42832.jpg","USA","• 8 Grammy Awards
• Sold over 40 million records worldwide
• 13 platinum albums
• Legendary performances at Apollo Theater
• Influenced generations of R&B vocalists","Aretha Franklin, Dionne Warwick, Stevie Wonder, Diana Ross",1,0,0,"soul","SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/f9aa825ded07217a99073edb16a42832","4.5","60K",43
"30","Mary j Blige","Mary J. Blige, known as the ""Queen of Hip-Hop Soul,"" revolutionized R&B by blending hip-hop beats with soulful vocals and raw emotional honesty. Her powerful voice and authentic storytelling have made her one of the most influential and successful artists in contemporary music.","https://res.cloudinary.com/webprojectimages/image/upload/v1760022072/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/33396ab521a1e1ac81151a2cc7714752.jpg","USA","• 9 Grammy Awards from 32 nominations
• Over 80 million records sold worldwide
• Academy Award nominations for acting and music
• Billboard's Icon Award recipient
• Pioneered hip-hop soul genre","Aretha Franklin, Chaka Khan, Anita Baker, Hip-Hop culture",1,0,0,"Rnb","SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/33396ab521a1e1ac81151a2cc7714752","4.1","2.6M",20
"31","Michael Jackson","Michael Jackson, the ""King of Pop,"" was a global phenomenon who revolutionized music, dance, and entertainment. His groundbreaking albums, innovative music videos, and electrifying performances made him the most successful entertainer of all time, with an influence that transcends generations and genres.","https://res.cloudinary.com/webprojectimages/image/upload/v1760022115/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/d9553d34d97261cd74c0ff26c9507360.jpg","USA","• 13 Grammy Awards and Grammy Legend Award
• ""Thriller"" is best-selling album of all time
• Pioneered modern music video artform
• Inducted into Rock and Roll Hall of Fame twice
• Over 400 million records sold worldwide","James Brown, Jackie Wilson, Diana Ross, Fred Astaire",1,0,0,"Pop","SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/d9553d34d97261cd74c0ff26c9507360","4.7","92K",47
"32","Samantha Mumba","Samantha Mumba is an Irish singer and actress who gained international success with her blend of R&B, pop, and dance music. Her debut album showcased her versatile vocals and contemporary sound, establishing her as a prominent artist in the early 2000s pop scene.","https://res.cloudinary.com/webprojectimages/image/upload/v1760022171/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/bad368b6ef8c25add0db89ddb8796a0e.png","USA","• Debut single ""Gotta Tell You"" reached Top 5 worldwide
• Platinum-selling debut album
• MTV Europe Music Award nomination
• Successful transition to acting
• International tours across Europe and Asia","Whitney Houston, Janet Jackson, Aaliyah, TLC",1,0,0,"pop","SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/bad368b6ef8c25add0db89ddb8796a0e","4.4","58K",21
"33","Spice Girls","The Spice Girls were a British pop phenomenon that defined the 1990s with their message of ""Girl Power"" and infectious pop anthems. As one of the best-selling girl groups of all time, they became a global cultural force, influencing fashion, music, and popular culture worldwide.","https://res.cloudinary.com/webprojectimages/image/upload/v1760022228/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/cfc61052e2d7daf78d38d6d2fdc98b6d.jpg","USA","• Best-selling girl group of all time
• 9 #1 singles in the UK
• ""Wannabe"" topped charts in 37 countries
• Over 100 million records sold worldwide
• Brit Awards and MTV Awards winners","Madonna, Bananarama, Girl groups of the 60s, Pop culture",1,0,0,"pop","SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/cfc61052e2d7daf78d38d6d2fdc98b6d","4.5","729K",39
